global_step,phase,eta,accuracy,loss,recurrent_rate_hz,current_time_ms,run_duration_ms
0,train,2e-07,0.15,0.03415887874235811,22.627878303175713,0.0,10003.0
1,train,2e-07,0.4,0.025845400087886144,19.525475690626145,10003.0,10003.0
2,train,2e-07,0.3,0.025523694757893657,17.74667599720084,20006.0,10003.0
3,train,2e-07,0.3,0.025391482159046835,16.093838515112132,30009.0,10003.0
4,train,2e-07,0.6,0.022896747405008112,14.434336365756938,40012.0,10003.0
5,train,2e-07,0.45,0.023075313429202958,14.194408344163419,50015.0,10003.0
6,train,2e-07,0.4,0.023674367643930376,13.188710053650572,60018.0,10003.0
7,train,2e-07,0.45,0.023169014119812585,12.60155286747309,70021.0,10003.0
8,train,2e-07,0.5,0.02239014255533709,12.051051351261288,80024.0,10003.0
9,train,2e-07,0.45,0.022125005262496684,11.115998533773201,90027.0,10003.0
10,train,2e-07,0.5,0.02253330535942038,10.670798760371888,100030.0,10003.0
11,train,2e-07,0.4,0.022638642384977963,10.803425638974973,110033.0,10003.0
12,train,2e-07,0.45,0.021205983383714037,10.607484421340265,120036.0,10003.0
13,train,2e-07,0.4,0.022685414665424435,10.119630777433438,130039.0,10003.0
14,train,2e-07,0.7,0.021487728778073516,9.173914492318971,140042.0,10003.0
15,train,2e-07,0.45,0.021938157203239855,9.697757339464827,150045.0,10003.0
16,train,2e-07,0.6,0.02090658863703885,9.577793328668067,160048.0,10003.0
17,train,2e-07,0.65,0.02010055163286921,9.172581558865673,170051.0,10003.0
18,train,2e-07,0.65,0.02031168469217323,9.14458995634643,180054.0,10003.0
19,train,2e-07,0.6,0.020393468614023347,8.866006864607284,190057.0,10003.0
20,train,2e-07,0.55,0.021267408782350873,8.410143623579593,200060.0,10003.0
21,train,2e-07,0.7,0.01960069812024397,8.850011663167717,210063.0,10003.0
22,train,2e-07,0.7,0.01993836795283059,8.690059648772035,220066.0,10003.0
23,train,2e-07,0.65,0.02031739911911211,7.9462827818321164,230069.0,10003.0
24,train,2e-07,0.45,0.022832067589151774,8.174214402345962,240072.0,10003.0
25,train,2e-07,0.75,0.018826450841176533,8.455463360991702,250075.0,10003.0
26,train,2e-07,0.8,0.019535565274339157,8.233529941017695,260078.0,10003.0
27,train,2e-07,0.6,0.01971107564960399,7.971608517444766,270081.0,10003.0
28,train,2e-07,0.7,0.01883282202666347,8.172881468892665,280084.0,10003.0
29,train,2e-07,0.75,0.01893828184013994,8.372821486887267,290087.0,10003.0
30,train,2e-07,0.7,0.019140913670085094,7.609050618147888,300090.0,10003.0
31,train,2e-07,0.75,0.01887462815638812,7.540404545303075,310093.0,10003.0
32,train,2e-07,0.6,0.01995548516682889,7.736345762937786,320096.0,10003.0
33,train,2e-07,0.75,0.01758338816985456,8.052917458095903,330099.0,10003.0
34,train,2e-07,0.85,0.017498018767407496,7.673031423906161,340102.0,10003.0
35,train,2e-07,0.85,0.01757967526036873,8.018927655036823,350105.0,10003.0
36,train,2e-07,0.7,0.018714269514759976,7.741677496750975,360108.0,10003.0
37,train,2e-07,0.7,0.018035492134253508,7.732346962577893,370111.0,10003.0
38,train,2e-07,0.7,0.01862816800283939,7.539738078576427,380114.0,10003.0
39,train,2e-07,0.7,0.019805243072600974,7.439101602852477,390117.0,10003.0
