global_step,phase,eta,accuracy,loss,recurrent_rate_hz,current_time_ms,run_duration_ms
0,train,2e-07,0.125,0.02831432804683653,29.69323279034565,0.0,24003.0
1,train,2e-07,0.1875,0.0267222183946441,28.2570234276271,24003.0,24003.0
2,train,2e-07,0.125,0.027164202412344428,29.086641947534336,48006.0,24003.0
3,train,2e-07,0.125,0.02675711125704117,29.4840922662445,72009.0,24003.0
4,train,2e-07,0.1875,0.026365824302384547,30.21761168742796,96012.0,24003.0
5,train,2e-07,0.0625,0.026949879218158827,29.354108514213504,120015.0,24003.0
6,train,2e-07,0.1875,0.026529557033077907,27.163271257759448,144018.0,24003.0
7,train,2e-07,0.3125,0.025864639446004426,28.471996555986056,168021.0,24003.0
8,train,2e-07,0.25,0.02568759419812574,29.39077059811968,192024.0,24003.0
9,train,2e-07,0.25,0.026010125661941778,28.196753183629824,216027.0,24003.0
10,train,2e-07,0.0625,0.02632790593953054,27.41018483800636,240030.0,24003.0
11,train,2e-07,0.25,0.025729971217730838,29.58074685108806,264033.0,24003.0
12,train,2e-07,0.125,0.025775623896275572,29.60379952505937,288036.0,24003.0
13,train,2e-07,0.125,0.02589126085626691,29.494924245580414,312039.0,24003.0
14,train,2e-07,0.0625,0.02609814009111392,25.557638628504773,336042.0,24003.0
15,train,2e-07,0.125,0.025903917278424254,28.28896387951506,360045.0,24003.0
16,train,2e-07,0.1875,0.02542223092035878,28.283131275257258,384048.0,24003.0
17,train,2e-07,0.25,0.025309180547363586,26.995792192642586,408051.0,24003.0
18,train,2e-07,0.1875,0.025520535752139053,28.551708814176006,432054.0,24003.0
19,train,2e-07,0.375,0.024953066851076885,28.853060034162393,456057.0,24003.0
20,train,2e-07,0.3125,0.02495014244475626,27.359357858045524,480060.0,24003.0
21,train,2e-07,0.25,0.025155744881195947,28.86694718715716,504063.0,24003.0
22,train,2e-07,0.375,0.02421387359296702,28.140093599411188,528066.0,24003.0
23,train,2e-07,0.375,0.024636557590459504,28.549486869696842,552069.0,24003.0
24,train,2e-07,0.25,0.024726085157444604,26.565290449804884,576072.0,24003.0
25,train,2e-07,0.3125,0.024604571024518247,30.990570623116554,600075.0,24003.0
26,train,2e-07,0.25,0.025030125348129928,25.339888069546863,624078.0,24003.0
27,train,2e-07,0.5,0.023819567938867824,27.723201266508354,648081.0,24003.0
28,train,2e-07,0.25,0.02441029548607149,30.114569012206807,672084.0,24003.0
29,train,2e-07,0.375,0.024661422618343257,28.35867738754878,696087.0,24003.0
30,train,2e-07,0.3125,0.024530726217686427,28.04788290352595,720090.0,24003.0
31,train,2e-07,0.375,0.024485325506652167,26.479745587357137,744093.0,24003.0
32,train,2e-07,0.5,0.023595252497789987,28.04899387576553,768096.0,24003.0
33,train,2e-07,0.375,0.02366789461569098,29.432432057103973,792099.0,24003.0
34,train,2e-07,0.375,0.023128437828397436,29.695732477884707,816102.0,24003.0
35,train,2e-07,0.3125,0.024178342420781363,28.506992181532862,840105.0,24003.0
36,train,2e-07,0.375,0.023984744218215174,27.174658723215153,864108.0,24003.0
37,train,2e-07,0.4375,0.02310876084572827,27.081337055090334,888111.0,24003.0
38,train,2e-07,0.5,0.023433320082350842,27.620991820466887,912114.0,24003.0
39,train,2e-07,0.3125,0.02399458672699488,27.982891027510448,936117.0,24003.0
40,train,2e-07,0.4375,0.023313246646158917,29.475759974447637,960120.0,24003.0
41,train,2e-07,0.5625,0.022961162529265403,28.191198322431916,984123.0,24003.0
42,train,2e-07,0.5,0.02308572066660262,28.761127081337055,1008126.0,24003.0
43,train,2e-07,0.5,0.022946889215115736,28.255634712327627,1032129.0,24003.0
44,train,2e-07,0.375,0.02318362337855097,28.06538071629935,1056132.0,24003.0
45,train,2e-07,0.5625,0.023304741936282937,25.78872085433765,1080135.0,24003.0
46,train,2e-07,0.5625,0.0230260307538136,29.468260911830466,1104138.0,24003.0
47,train,2e-07,0.5,0.023157362498215133,26.395589440208866,1128141.0,24003.0
48,train,2e-07,0.5,0.02287325516555394,28.606146453915482,1152144.0,24003.0
49,train,2e-07,0.5,0.022587041713886515,27.581552305961754,1176147.0,24003.0
50,train,2e-07,0.5625,0.02245095759091448,27.878737380049714,1200150.0,24003.0
51,train,2e-07,0.4375,0.022832466953416283,26.046466413920484,1224153.0,24003.0
52,train,2e-07,0.5,0.023373002870440286,26.22533294449305,1248156.0,24003.0
53,train,2e-07,0.5,0.022466199268541532,26.95329750447861,1272159.0,24003.0
54,train,2e-07,0.625,0.022163210071701314,27.88679192878668,1296162.0,24003.0
55,train,2e-07,0.5,0.021852598402499812,27.983724256690138,1320165.0,24003.0
56,train,2e-07,0.6875,0.022567061682875998,26.630282325820385,1344168.0,24003.0
57,train,2e-07,0.6875,0.022344069005781307,28.614201002652447,1368171.0,24003.0
58,train,2e-07,0.625,0.02170315213430162,27.876515435570553,1392174.0,24003.0
59,train,2e-07,0.4375,0.02314102345404384,26.295879681706452,1416177.0,24003.0
60,train,2e-07,0.6875,0.022088594745209106,28.75418350483967,1440180.0,24003.0
61,train,2e-07,0.625,0.02175506803876095,27.796803177380607,1464183.0,24003.0
62,train,2e-07,0.5625,0.02228268148089122,24.74412920607146,1488186.0,24003.0
63,train,2e-07,0.375,0.022367273225718687,26.916357677512536,1512189.0,24003.0
64,train,2e-07,0.5625,0.022019673266846396,26.548070380091378,1536192.0,24003.0
65,train,2e-07,0.625,0.02183191702132456,28.511158327431293,1560195.0,24003.0
66,train,2e-07,0.75,0.02138583164731349,28.555319473954643,1584198.0,24003.0
67,train,2e-07,0.375,0.021963489388740563,28.780569095529728,1608201.0,24003.0
68,train,2e-07,0.625,0.022228956513522306,26.353372495104775,1632204.0,24003.0
69,train,2e-07,0.6875,0.02202345437646549,26.63000458276049,1656207.0,24003.0
70,train,2e-07,0.5625,0.022037639094842694,28.0801010984738,1680210.0,24003.0
71,train,2e-07,0.6875,0.02104808562373352,27.272702023358192,1704213.0,24003.0
72,train,2e-07,0.4375,0.021619271440595497,27.50572845061034,1728216.0,24003.0
73,train,2e-07,0.6875,0.02124232685546774,27.721257065089084,1752219.0,24003.0
74,train,2e-07,0.75,0.02205978128973988,27.331028065936202,1776222.0,24003.0
75,train,2e-07,0.75,0.020838327139348252,27.397130914191283,1800225.0,24003.0
76,train,2e-07,0.75,0.021242222239011878,26.819425349609077,1824228.0,24003.0
77,train,2e-07,0.625,0.021600127039245447,26.882473024205307,1848231.0,24003.0
78,train,2e-07,0.625,0.021398670692823904,26.40586593342499,1872234.0,24003.0
79,train,2e-07,0.8125,0.021310284204064715,25.743726478634613,1896237.0,24003.0
80,train,2e-07,0.8125,0.020895710861173162,27.72264578038856,1920240.0,24003.0
81,train,2e-07,0.625,0.021378213699421965,26.539460345234623,1944243.0,24003.0
82,train,2e-07,0.8125,0.020772503767899533,26.21366773597745,1968246.0,24003.0
83,train,2e-07,0.6875,0.02143268866317862,26.03257926092572,1992249.0,24003.0
84,train,2e-07,0.6875,0.021286330246346137,27.421016817342274,2016252.0,24003.0
85,train,2e-07,0.8125,0.020349807303368113,27.13827438236887,2040255.0,24003.0
86,train,2e-07,0.6875,0.021102458270654607,25.565693177241734,2064258.0,24003.0
